iso3,target,model,MAE
ITA,co2_pc,ARIMA,7.221763646237956
ITA,co2_pc,RF-lag,0.4856642202000022
JAM,co2_pc,ARIMA,0.5572340796329198
JAM,co2_pc,RF-lag,0.2575999324000008
JOR,co2_pc,ARIMA,0.1548095153977743
JOR,co2_pc,RF-lag,0.16016680099999916
JPN,co2_pc,ARIMA,0.36474421462726203
JPN,co2_pc,RF-lag,0.2774524020000019
KAZ,co2_pc,ARIMA,2.9345748753525194
KAZ,co2_pc,RF-lag,2.7042913319999964
KEN,co2_pc,ARIMA,0.03154612515901067
KEN,co2_pc,RF-lag,0.02464097404999997
KGZ,co2_pc,ARIMA,0.41053604936578203
KGZ,co2_pc,RF-lag,0.3295959879399991
KHM,co2_pc,ARIMA,0.1373440062216576
KHM,co2_pc,RF-lag,0.15018802515000007
KOR,co2_pc,ARIMA,119.58247744627627
KOR,co2_pc,RF-lag,1.4851918100000003
KWT,co2_pc,ARIMA,8.511708828913473
LAO,co2_pc,ARIMA,0.2160870349556347
LAO,co2_pc,RF-lag,0.2352531685999999
LBN,co2_pc,ARIMA,0.3441332916099891
LBN,co2_pc,RF-lag,0.3395277920000014
LBR,co2_pc,ARIMA,0.02936796094371207
LBR,co2_pc,RF-lag,0.027202867789999908
LBY,co2_pc,ARIMA,1.2477948676067137
LBY,co2_pc,RF-lag,0.7668575967000014
LCA,co2_pc,ARIMA,0.17730414514374276
LCA,co2_pc,RF-lag,0.267012610399998
LKA,co2_pc,ARIMA,0.14335430910139257
LKA,co2_pc,RF-lag,0.09219488970000062
LSO,co2_pc,ARIMA,0.15269770816370498
LSO,co2_pc,RF-lag,0.1906600718999995
LTU,co2_pc,ARIMA,0.1951978965759121
LTU,co2_pc,RF-lag,0.41547199540000346
LUX,co2_pc,ARIMA,4.69985779161883
LUX,co2_pc,RF-lag,1.197875046000006
LVA,co2_pc,ARIMA,0.4566269978577807
LVA,co2_pc,RF-lag,0.23517529759999892
MAR,co2_pc,ARIMA,18.04530692054808
MAR,co2_pc,RF-lag,0.3565380459999987
MDA,co2_pc,ARIMA,0.33634694649103347
MDA,co2_pc,RF-lag,0.32506396369999885
MDG,co2_pc,ARIMA,0.021772399338638015
MDG,co2_pc,RF-lag,0.015122580206000042
MEX,co2_pc,ARIMA,0.37123208111564177
MEX,co2_pc,RF-lag,0.2034260619999994
MKD,co2_pc,ARIMA,0.4687314268616607
